m,t,c,b_t
1,397,97,38606
2,397,97,38606
3,2,1,3
4,3,1,4
5,7,2,16
6,7,2,16
7,3,2,8
8,3,2,8
9,1241,316,392472
10,1241,316,392472
11,5,2,12
12,5,2,12
13,9,3,30
14,9,3,30
15,5,3,18
16,5,3,18
17,9,3,30
18,9,3,30
19,5,4,24
20,5,4,24
21,47,12,576
22,47,12,576
23,5,4,24
24,5,4,24
25,7,4,32
26,7,4,32
27,47,12,576
28,47,12,576
29,47,11,528
30,47,11,528
31,47,11,528
32,47,11,528
33,1241,316,392472
34,1241,316,392472
35,47,11,528
36,47,11,528
37,1241,316,392472
38,1241,316,392472
39,1241,316,392472
40,1241,316,392472
41,7,6,48
42,7,6,48
43,1241,316,392472
44,1241,316,392472
45,1241,316,392472
46,1241,316,392472
47,1241,316,392472
48,1241,316,392472
49,1241,316,392472
50,1241,316,392472
51,397,97,38606
52,397,97,38606
53,1241,316,392472
54,1241,316,392472
55,1241,316,392472
56,1241,316,392472
57,47,13,624
58,47,13,624
59,1241,316,392472
60,1241,316,392472
61,47,13,624
62,47,13,624
63,47,13,624
64,47,13,624
65,47,13,624
66,47,13,624
67,47,13,624
68,47,13,624
69,23,8,192
70,23,8,192
71,47,13,624
72,47,13,624
73,47,13,624
74,47,13,624
75,47,12,576
76,47,12,576
77,47,13,624
78,47,13,624
79,47,13,624
80,47,13,624
81,47,13,624
82,47,13,624
83,47,13,624
84,47,13,624
85,47,13,624
86,47,13,624
87,47,13,624
88,47,13,624
89,47,14,672
90,47,14,672
91,47,14,672
92,47,14,672
93,1241,316,392472
94,1241,316,392472
95,47,14,672
96,47,14,672
97,1241,316,392472
98,1241,316,392472
99,1241,316,392472
100,1241,316,392472
101,1241,316,392472
102,1241,316,392472
103,397,97,38606
104,397,97,38606
105,13,9,126
106,13,9,126
107,397,97,38606
108,397,97,38606
109,397,97,38606
110,397,97,38606
111,47,13,624
112,47,13,624
113,13,10,140
114,13,10,140
115,13,10,140
116,13,10,140
117,13,11,154
118,13,11,154
119,13,10,140
120,13,10,140
121,47,14,672
122,47,14,672
123,13,11,154
124,13,11,154
125,13,12,168
126,13,12,168
127,13,12,168
128,13,12,168
129,397,97,38606
130,397,97,38606
131,13,12,168
132,13,12,168
133,397,97,38606
134,397,97,38606
135,519,132,68640
136,519,132,68640
137,397,97,38606
138,397,97,38606
139,23,11,264
140,23,11,264
141,519,132,68640
142,519,132,68640
143,23,11,264
144,23,11,264
145,23,11,264
146,23,11,264
147,519,132,68640
148,519,132,68640
149,23,11,264
150,23,11,264
151,23,11,264
152,23,11,264
153,15,13,208
154,15,13,208
155,23,11,264
156,23,11,264
157,15,13,208
158,15,13,208
159,15,13,208
160,15,13,208
161,23,11,264
162,23,11,264
163,15,14,224
164,15,14,224
165,397,97,38606
166,397,97,38606
167,15,14,224
168,15,14,224
169,15,14,224
170,15,14,224
171,23,12,288
172,23,12,288
173,519,132,68640
174,519,132,68640
175,519,132,68640
176,519,132,68640
177,217,55,11990
178,217,55,11990
179,519,132,68640
180,519,132,68640
181,217,55,11990
182,217,55,11990
183,217,55,11990
184,217,55,11990
185,15,14,224
186,15,14,224
187,15,14,224
188,15,14,224
189,15,14,224
190,15,14,224
191,15,14,224
192,15,14,224
193,289,72,20880
194,289,72,20880
195,217,55,11990
196,217,55,11990
197,289,72,20880
198,289,72,20880
199,289,72,20880
200,289,72,20880
201,289,72,20880
202,289,72,20880
203,289,72,20880
204,289,72,20880
205,289,72,20880
206,289,72,20880
207,289,72,20880
208,289,72,20880
209,289,73,21170
210,289,73,21170
211,289,73,21170
212,289,73,21170
213,25,14,364
214,25,14,364
215,289,73,21170
216,289,73,21170
217,289,72,20880
218,289,72,20880
219,25,14,364
220,25,14,364
221,25,14,364
222,25,14,364
223,21,14,308
224,21,14,308
225,23,13,312
226,23,13,312
227,21,14,308
228,21,14,308
229,21,14,308
230,21,14,308
231,289,73,21170
232,289,73,21170
233,21,14,308
234,21,14,308
235,21,14,308
236,21,14,308
237,21,15,330
238,21,15,330
239,21,14,308
240,21,14,308
241,391,102,39984
242,391,102,39984
243,21,15,330
244,21,15,330
245,25,15,390
246,25,15,390
247,25,15,390
248,25,15,390
249,25,15,390
250,25,15,390
251,25,15,390
252,25,15,390
253,33,15,510
254,33,15,510
255,25,16,416
256,25,16,416
257,33,15,510
258,33,15,510
259,25,16,416
