rank,t,c,witness_m,b_t,c_over_t
1,327695231,81923126,1320111,26845817780735232,0.249997920
2,303967101,75990326,2283283,23098559174255252,0.249995232
3,133301871,33324063,1529233,4442159980545936,0.249989462
4,90502807,22627131,3350571,2047818892483848,0.250015792
5,89913893,22476689,2608579,2020966632216966,0.249980156
6,53497613,13374288,3454473,715492496948832,0.249997846
7,45761407,11440542,4219977,523535310203136,0.250004157
8,24235501,6058697,1464979,146835563260894,0.249992645
9,21892247,5473536,4697193,119828007548928,0.250021663
10,21654679,5412977,9149923,117216284782360,0.249968009
11,17844449,4461215,3190663,79607928006750,0.250005758
12,16817599,4203767,8637897,70697271899200,0.249962376
13,14822199,3705500,1660005,54923662100000,0.249996644
14,11567789,2891863,3467277,33452463892770,0.249992717
15,10560981,2639353,5145029,27874159524646,0.249915514
16,9754117,2438232,1247719,23782802639376,0.249969526
17,9363863,2341202,31873,21922697124528,0.250025230
18,9204751,2301201,1054303,21181984507152,0.250001439
19,8897599,2224312,2420211,19791038451200,0.249990138
20,8361989,2089866,4458681,17475438593340,0.249924510
21,7105583,1776335,4797717,12621897554640,0.249991450
22,7077005,1768419,6192757,12515111873514,0.249882401
23,6633359,1657798,4444805,10996770941280,0.249918329
24,5799079,1449482,318601,8405662076560,0.249950380
25,5754527,1438408,4169913,8277359111424,0.249961118
26,4694881,1174025,4902717,5511908840050,0.250064911
27,4553005,1138035,3434925,5181480183210,0.249952504
28,4553005,1138187,4963003,5182172240122,0.249985888
29,4021025,1005328,9538201,4042450026528,0.250017844
30,3660509,914793,6331149,3348608924430,0.249908688
31,3192845,798177,4190613,2548456241742,0.249989273
32,2806265,701602,370731,1968881838132,0.250012739
33,2806265,701603,4614101,1968884644398,0.250013096
34,2755735,688765,11489,1898054506040,0.249938764
35,2729985,682876,7129513,1864241919736,0.250139103
36,2506041,626806,5206573,1570802161852,0.250118015
37,2459989,614743,8929311,1512261632570,0.249896646
38,2199437,549835,5699685,1209327992730,0.249988974
39,2199437,549819,5716663,1209292801722,0.249981700
40,1939909,484721,3623137,940315115110,0.249867906
41,1780007,445057,6044833,792205020456,0.250031039
42,1773565,443373,6785271,786351278118,0.249989710
43,1638351,409296,3787257,670570920192,0.249821925
44,1429423,357633,3181057,511209193392,0.250193959
45,1423471,356029,5674297,506797312688,0.250113279
46,1332511,333407,482921,444268828384,0.250209567
47,1332511,333406,4128609,444267495872,0.250208816
48,1240289,310217,7617,384759042930,0.250116707
49,1145487,286373,18711,328036835024,0.250001091
50,1050297,262622,2019393,275831361356,0.250045463
51,1050297,262619,6628777,275828210462,0.250042607
52,1050297,262625,7658779,275834512250,0.250048320
53,1050297,262629,7971969,275838713442,0.250052128
54,1048321,262182,6921313,274851158604,0.250097060
55,1014175,253379,5152857,256970900704,0.249837553
56,888061,221980,2998205,197132002760,0.249960307
57,887449,221865,4321197,196894094250,0.250003099
58,887449,221871,5210217,196899418950,0.250009860
59,864231,216180,3204561,186829673760,0.250141455
60,864231,216096,8584505,186757078272,0.250044259
61,818295,204681,134909,167489643576,0.250131065
62,801815,200523,2275101,160782549768,0.250086367
63,775045,193720,5329611,150141911120,0.249946777
64,773721,193520,5121943,149730681440,0.250115998
65,717599,179486,3537883,128799153600,0.250120192
