t,c,witness_m,b_t
2,1,3,3
3,1,4,4
3,2,7,8
5,2,11,12
5,3,15,18
5,4,19,24
7,2,5,16
7,4,25,32
7,6,41,48
9,3,13,30
13,9,105,126
13,10,113,140
13,11,117,154
13,12,125,168
15,13,153,208
15,14,163,224
21,14,223,308
21,15,237,330
21,16,281,352
21,17,283,374
21,18,291,396
23,8,69,192
23,11,139,264
23,12,171,288
23,13,225,312
23,21,357,504
25,14,213,364
25,15,245,390
25,16,255,416
31,15,269,480
31,17,343,544
31,18,379,576
31,19,389,608
31,20,393,640
31,21,425,672
31,22,463,704
31,23,489,736
31,24,509,768
31,26,581,832
31,27,629,864
33,15,253,510
33,22,495,748
37,26,641,988
37,27,693,1026
37,28,721,1064
39,33,975,1320
39,34,979,1360
39,35,1041,1400
39,36,1049,1440
39,37,1099,1480
41,21,493,882
45,32,1071,1472
45,36,1169,1656
45,41,1417,1886
45,42,1459,1932
45,43,1469,1978
45,44,1481,2024
47,12,21,576
47,11,29,528
47,13,57,624
47,14,89,672
47,19,403,912
47,22,499,1056
47,27,785,1296
47,28,793,1344
47,29,859,1392
47,30,883,1440
47,31,919,1488
47,45,1589,2160
47,46,1633,2208
55,28,961,1568
55,46,1843,2576
55,49,1965,2744
55,50,2045,2800
55,51,2151,2856
55,54,2289,3024
57,40,1699,2320
63,52,2369,3328
63,53,2401,3392
65,42,1797,2772
69,64,3351,4480
71,31,1021,2232
71,33,1121,2376
71,35,1333,2520
71,36,1377,2592
79,78,4963,6240
85,76,4953,6536
85,77,5073,6622
87,66,4077,5808
87,67,4085,5896
87,70,4459,6160
87,71,4575,6248
87,78,5049,6864
87,79,5081,6952
87,80,5165,7040
89,58,3125,5220
89,61,3809,5490
93,72,4961,6768
93,73,4981,6862
93,77,5281,7238
93,82,5871,7708
93,83,5931,7802
93,92,6569,8648
95,82,5633,7872
95,83,5669,7968
95,84,5751,8064
95,85,5779,8160
95,87,5991,8352
95,86,6033,8256
95,89,6329,8544
97,41,1713,4018
97,42,1911,4116
103,35,749,3640
103,36,753,3744
103,66,4579,6864
103,65,4597,6760
103,67,4671,6968
103,68,4677,7072
103,86,6439,8944
103,87,6449,9048
103,93,7071,9672
103,94,7491,9776
105,35,905,3710
105,54,2899,5724
105,55,2909,5830
105,56,3051,5936
107,106,8743,11448
109,82,5981,9020
109,80,6051,8800
109,81,6065,8910
109,84,6089,9240
109,83,6103,9130
109,85,6269,9350
111,35,705,3920
111,34,801,3808
117,101,8281,11918
117,100,8581,11800
117,109,9517,12862
117,108,9585,12744
117,111,9717,13098
117,110,9725,12980
117,112,9735,13216
127,113,10433,14464
127,114,10977,14592
127,120,11203,15360
127,117,11211,14976
127,121,11513,15488
127,119,11571,15232
127,122,11793,15616
127,124,11833,15872
127,123,11889,15744
127,126,12043,16128
127,125,12237,16000
141,124,12809,17608
141,125,12965,17750
141,127,13177,18034
141,130,13417,18460
141,129,13433,18318
141,131,13639,18602
141,135,13671,19170
141,132,13761,18744
141,136,13953,19312
141,134,14169,19028
141,133,14179,18886
143,63,4011,9072
143,70,5217,10080
151,58,3101,8816
151,61,3345,9272
151,59,3463,8968
151,60,3593,9120
153,45,951,6930
153,102,10071,15708
155,154,18591,24024
159,60,3369,9600
159,61,3379,9760
159,97,9319,15520
159,125,13873,20000
159,131,15181,20960
159,152,17761,24320
159,146,17945,23360
159,147,18139,23520
161,65,4185,10530
161,64,4275,10368
161,93,8729,15066
161,92,8769,14904
167,122,13553,20496
167,123,13829,20664
167,128,14655,21504
167,130,14757,21840
167,129,15545,21672
173,142,17753,24708
173,140,18129,24360
173,141,18233,24534
173,157,19701,27318
175,67,4321,11792
175,70,4773,12320
175,69,5009,12144
175,92,8817,16192
175,93,8835,16368
175,94,8849,16544
175,95,8923,16720
175,96,9079,16896
175,97,9703,17072
175,98,9741,17248
175,101,10041,17776
175,102,10063,17952
175,100,10399,17600
175,103,10589,18128
175,104,10593,18304
175,105,10695,18480
175,106,11683,18656
183,67,3615,12328
183,167,22491,30728
183,169,23105,31096
183,171,23441,31464
185,56,1543,10416
185,80,6351,14880
185,81,6393,15066
191,73,5293,14016
191,74,5415,14208
191,85,6893,16320
191,84,7073,16128
191,101,10857,19392
193,85,7425,16490
193,107,12135,20758
193,110,12261,21340
193,109,12417,21146
193,129,15485,25026
193,126,16551,24444
199,73,5169,14600
199,124,14871,24800
201,73,5133,14746
201,104,11405,21008
201,105,11419,21210
201,107,11533,21614
201,106,11849,21412
201,109,12163,22018
201,108,12231,21816
201,110,12333,22220
201,112,12499,22624
201,111,12597,22422
201,116,13329,23432
201,119,14609,24038
201,123,15019,24846
201,124,15097,25048
205,181,26697,37286
207,65,1977,13520
213,158,22873,33812
213,164,23489,35096
213,159,23743,34026
213,162,24231,34668
213,161,24601,34454
215,126,15929,27216
215,125,16349,27000
215,127,16569,27432
215,128,16617,27648
215,129,16753,27864
215,130,16865,28080
215,131,16869,28296
215,180,29091,38880
215,181,29233,39096
217,55,177,11990
217,57,513,12426
217,56,523,12208
217,58,593,12644
217,59,1431,12862
217,61,1649,13298
217,62,1685,13516
217,60,1709,13080
217,64,1841,13952
217,63,2001,13734
217,66,2157,14388
217,65,2249,14170
217,103,10413,22454
217,136,17239,29648
217,138,18461,30084
217,139,18509,30302
217,141,18777,30738
217,146,20331,31828
221,166,25971,36852
221,167,26037,37074
221,205,33365,45510
221,206,33717,45732
221,209,34893,46398
221,214,35189,47508
223,170,25159,38080
223,175,26143,39200
223,165,26165,36960
223,180,27365,40320
223,179,27705,40096
223,181,27905,40544
223,183,28113,40992
223,184,28123,41216
223,182,28183,40768
223,185,28321,41440
223,190,30679,42560
223,194,30739,43456
229,197,32669,45310
229,223,38701,51290
229,224,38877,51520
229,227,39653,52210
231,116,14623,26912
231,117,14697,27144
231,125,16561,29000
245,183,30725,45018
245,185,30993,45510
245,197,33561,48462
245,203,34445,49938
245,226,41331,55596
245,227,42141,55842
247,188,31181,46624
247,189,31275,46872
247,205,35659,50840
249,75,3831,18750
249,77,4625,19250
249,79,4851,19750
249,133,18213,33250
249,135,18457,33750
249,137,18989,34250
249,134,19613,33500
249,145,21601,36250
253,189,31861,48006
253,191,32623,48514
253,190,32817,48260
253,193,33471,49022
255,247,49093,63232
263,89,5613,23496
263,92,6457,24288
269,213,40889,57510
269,214,41211,57780
277,241,49993,66998
277,248,52709,68944
277,249,52981,69222
279,133,17151,37240
279,134,17369,37520
279,130,17765,36400
279,138,18965,38640
279,136,19393,38080
279,137,19423,38360
279,135,19519,37800
287,95,7473,27360
287,96,7773,27648
287,99,7879,28512
287,102,8013,29376
287,100,8061,28800
287,101,8419,29088
287,103,9051,29664
287,105,9249,30240
287,104,9345,29952
287,108,11101,31104
287,107,11241,30816
287,164,25141,47232
287,170,26877,48960
287,168,26931,48384
287,165,26997,47520
287,166,27009,47808
287,169,27033,48672
287,167,27041,48096
287,160,27329,46080
287,205,39679,59040
287,207,40791,59616
287,210,41181,60480
289,72,193,20880
289,73,209,21170
289,74,333,21460
289,76,673,22040
289,191,34851,55390
289,192,35373,55680
289,193,35377,55970
289,200,37137,58000
289,202,37377,58580
289,201,37425,58290
289,203,37617,58870
289,206,37663,59740
289,207,37723,60030
289,205,37921,59450
289,210,41261,60900
293,261,55875,76734
293,280,60657,82320
293,281,60771,82614
295,128,16829,37888
295,213,42237,63048
295,222,43777,65712
295,221,44385,65416
295,262,58409,77552
297,96,5557,28608
297,107,9831,31886
297,109,10335,32482
297,108,10431,32184
297,112,10819,33376
297,111,11121,33078
297,131,17081,39038
297,132,17331,39336
297,134,18065,39932
297,135,18079,40230
297,136,18297,40528
297,153,23211,45594
297,152,23321,45296
297,154,23617,45892
297,150,24253,44700
297,151,24309,44998
297,163,25099,48574
297,188,35433,56024
297,187,35765,55726
301,235,49237,70970
301,234,49257,70668
301,230,49311,69460
301,231,49423,69762
301,240,50659,72480
301,229,50697,69158
311,229,48369,71448
313,171,31121,53694
317,298,70529,94764
319,272,63969,87040
319,291,67377,93120
319,290,67437,92800
319,305,71673,97600
319,313,73177,100160
319,300,73229,96000
319,301,73233,96320
319,316,73483,101120
319,315,73639,100800
319,314,73671,100480
319,317,74085,101440
319,312,74173,99840
319,318,74539,101760
321,115,11383,37030
335,107,8173,35952
