m,n_end,steps,mean_kappa,mean_rho,p_down,p_flat,p_up
11489,250,126,0.62466163,0.50927568,0.30952381,0.49206349,0.19841270
11489,500,250,0.34923246,0.50860796,0.17200000,0.50000000,0.32800000
11489,1000,500,0.27221747,0.50281265,0.12400000,0.52200000,0.35400000
11489,2000,1000,0.25402190,0.49432738,0.12000000,0.52000000,0.36000000
11489,4000,2000,0.25023321,0.49539494,0.12400000,0.50750000,0.36850000
11489,8000,4000,0.24949342,0.49979413,0.13350000,0.48275000,0.38375000
11489,16000,8000,0.24955710,0.49984709,0.12800000,0.49375000,0.37825000
11489,32000,16000,0.24973933,0.49896721,0.12325000,0.50431250,0.37243750
11489,64000,32000,0.25047066,0.50129738,0.12575000,0.49768750,0.37656250
11489,128000,64000,0.25022723,0.50081472,0.12434375,0.50073437,0.37492188
11489,256000,128000,0.25016105,0.49937886,0.12517969,0.50042969,0.37439062
11489,512000,256000,0.24992276,0.50026772,0.12491406,0.49982813,0.37525781
11489,1024000,512000,0.25018300,0.50025075,0.12568750,0.49855859,0.37575391
11489,2048000,1024000,0.25004607,0.49997524,0.12500293,0.50006543,0.37493164
11489,2755735,707734,0.24994073,0.49971075,0.12469091,0.50084778,0.37446131
