.\search-framework\target\release\sweep.exe : [sweep] n=200000 live=158 elapsed=11.0s
At line:3 char:1
+ .\search-framework\target\release\sweep.exe --lo 1 --hi 10000000 --ma ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([sweep] n=200000 live=158 elapsed=11.0s:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[sweep] n=400000 live=99 elapsed=12.5s
[sweep] n=600000 live=75 elapsed=13.4s
[sweep] n=800000 live=64 elapsed=14.2s
[sweep] n=1000000 live=56 elapsed=14.9s
[sweep] n=1200000 live=49 elapsed=15.6s
[sweep] n=1400000 live=46 elapsed=16.1s
[sweep] n=1600000 live=44 elapsed=16.7s
[sweep] n=1800000 live=41 elapsed=17.2s
[sweep] n=2000000 live=40 elapsed=17.7s
[sweep] n=2200000 live=38 elapsed=18.2s
[sweep] n=2400000 live=37 elapsed=18.6s
[sweep] n=2600000 live=35 elapsed=19.1s
[sweep] n=2800000 live=33 elapsed=19.5s
[sweep] n=3000000 live=31 elapsed=19.9s
[sweep] n=3200000 live=30 elapsed=20.2s
[sweep] n=3400000 live=30 elapsed=20.6s
[sweep] n=3600000 live=30 elapsed=21.0s
[sweep] n=3800000 live=29 elapsed=21.3s
[sweep] n=4000000 live=29 elapsed=21.7s
[sweep] n=4200000 live=28 elapsed=22.0s
[sweep] n=4400000 live=28 elapsed=22.4s
[sweep] n=4600000 live=26 elapsed=22.7s
[sweep] n=4800000 live=25 elapsed=23.0s
[sweep] n=5000000 live=25 elapsed=23.4s
[sweep] n=5200000 live=25 elapsed=23.7s
[sweep] n=5400000 live=25 elapsed=24.0s
[sweep] n=5600000 live=25 elapsed=24.3s
[sweep] n=5800000 live=23 elapsed=24.6s
[sweep] n=6000000 live=23 elapsed=24.9s
[sweep] n=6200000 live=23 elapsed=25.1s
[sweep] n=6400000 live=23 elapsed=25.4s
[sweep] n=6600000 live=23 elapsed=25.7s
[sweep] n=6800000 live=22 elapsed=26.0s
[sweep] n=7000000 live=22 elapsed=26.3s
[sweep] n=7200000 live=20 elapsed=26.5s
[sweep] n=7400000 live=20 elapsed=26.8s
[sweep] n=7600000 live=20 elapsed=27.0s
[sweep] n=7800000 live=20 elapsed=27.3s
[sweep] n=8000000 live=20 elapsed=27.5s
[sweep] n=8200000 live=20 elapsed=27.8s
[sweep] n=8400000 live=19 elapsed=28.0s
[sweep] n=8600000 live=19 elapsed=28.2s
[sweep] n=8800000 live=19 elapsed=28.5s
[sweep] n=9000000 live=18 elapsed=28.7s
[sweep] n=9200000 live=18 elapsed=28.9s
[sweep] n=9400000 live=16 elapsed=29.1s
[sweep] n=9600000 live=16 elapsed=29.3s
[sweep] n=9800000 live=15 elapsed=29.5s
[sweep] n=10000000 live=15 elapsed=29.7s
[sweep] n=10200000 live=15 elapsed=29.9s
