n,live_before,absorbed,merged,live_after
2,10000000,1,4999999,5000000
3,5000000,2,0,4999998
5,4166666,3,0,4166663
7,2666665,3,0,2666662
9,2190475,1,0,2190474
13,1959949,4,0,1959945
15,1738036,2,0,1738034
21,1594005,5,0,1594000
23,1424771,5,0,1424766
25,1282642,3,0,1282639
31,1101452,11,0,1101441
33,965995,2,0,965993
37,896408,3,0,896405
39,857472,5,0,857467
41,806790,1,0,806789
45,769099,6,0,769093
47,729183,13,0,729170
55,667783,6,0,667777
57,637160,1,0,637159
63,586567,2,0,586565
65,552333,1,0,552332
69,544007,1,0,544006
71,523657,4,0,523653
79,477561,1,0,477560
85,464335,2,0,464333
87,453743,7,0,453736
89,439727,2,0,439725
93,431899,6,0,431893
95,417836,7,0,417829
97,398964,2,0,398962
103,380211,10,0,380201
105,367931,4,0,367927
107,364857,1,0,364856
109,362139,6,0,362133
111,354470,2,0,354468
117,348066,7,0,348059
127,321354,11,0,321343
141,284729,11,0,284718
143,279622,2,0,279620
151,271456,4,0,271452
153,266806,2,0,266804
155,265579,1,0,265578
159,259292,8,0,259284
161,251848,4,0,251844
167,244710,5,0,244705
173,237475,4,0,237471
175,232346,17,0,232329
183,225227,4,0,225223
185,221119,3,0,221116
191,214865,5,0,214860
193,210552,6,0,210546
199,207053,2,0,207051
201,204120,14,0,204106
205,202050,1,0,202049
207,199701,1,0,199700
213,197086,5,0,197081
215,194333,9,0,194324
217,191786,18,0,191768
221,190224,6,0,190218
223,186770,12,0,186758
229,181495,4,0,181491
231,178113,3,0,178110
245,171908,6,0,171902
247,169949,3,0,169946
249,167922,8,0,167914
253,166955,4,0,166951
255,165327,1,0,165326
263,159747,2,0,159745
269,157138,2,0,157136
277,154594,3,0,154591
279,152834,7,0,152827
287,148277,22,0,148255
289,145690,15,0,145675
293,144676,3,0,144673
295,142374,5,0,142369
297,140395,19,0,140376
301,139141,6,0,139135
311,135291,1,0,135290
313,133988,1,0,133987
317,133169,1,0,133168
319,132228,13,0,132215
321,130643,1,0,130642
335,126589,8,0,126581
341,125477,10,0,125467
343,124034,20,0,124014
373,115080,5,0,115075
375,114150,4,0,114146
377,113244,1,0,113243
381,112913,2,0,112911
383,111494,38,0,111456
385,109909,40,0,109869
391,107543,15,0,107528
393,106385,1,0,106384
397,105755,15,0,105740
399,105203,5,0,105198
405,104748,9,0,104739
407,104043,19,0,104024
409,103304,2,0,103302
415,101626,13,0,101613
417,100315,3,0,100312
421,99550,5,0,99545
425,98510,2,0,98508
431,97787,5,0,97782
439,96501,2,0,96499
441,95862,2,0,95860
449,93826,3,0,93823
481,88360,6,0,88354
487,87310,7,0,87303
489,86703,26,0,86677
493,86350,2,0,86348
501,85657,1,0,85656
503,85070,15,0,85055
505,84548,1,0,84547
509,84403,2,0,84401
511,83522,4,0,83518
513,82406,1,0,82405
519,80528,1,0,80527
535,78912,2,0,78910
543,77880,6,0,77874
545,77151,7,0,77144
549,76620,30,0,76590
567,74503,1,0,74502
569,74012,1,0,74011
581,72580,14,0,72566
583,72234,29,0,72205
585,71857,1,0,71856
591,71111,16,0,71095
601,70225,13,0,70212
605,70027,6,0,70021
607,69574,11,0,69563
609,68983,7,0,68976
615,68442,2,0,68440
637,66869,1,0,66868
653,64649,5,0,64644
655,64424,7,0,64417
663,63917,13,0,63904
671,63245,6,0,63239
677,62550,2,0,62548
679,62290,11,0,62279
681,62012,3,0,62009
685,61716,4,0,61712
687,61310,13,0,61297
695,60724,9,0,60715
697,60420,3,0,60417
705,59573,10,0,59563
711,59289,4,0,59285
727,58163,19,0,58144
729,57897,4,0,57893
733,57758,1,0,57757
741,57071,9,0,57062
751,56177,7,0,56170
759,55764,12,0,55752
765,55443,4,0,55439
769,54928,17,0,54911
775,54608,10,0,54598
781,54271,6,0,54265
789,54017,6,0,54011
791,53784,3,0,53781
799,53205,55,0,53150
801,52754,1,0,52753
807,52340,22,0,52318
813,51884,15,0,51869
825,50984,2,0,50982
833,50522,4,0,50518
853,49707,2,0,49705
861,49181,6,0,49175
865,48651,12,0,48639
871,48389,16,0,48373
873,48237,18,0,48219
875,48181,1,0,48180
879,48019,2,0,48017
887,47727,22,0,47705
889,47564,2,0,47562
903,46532,21,0,46511
909,46144,1,0,46143
919,45794,11,0,45783
929,45196,17,0,45179
933,45059,12,0,45047
959,43941,7,0,43934
965,43741,3,0,43738
967,43594,3,0,43591
975,43230,1,0,43229
1001,42101,32,0,42069
1005,42010,1,0,42009
1013,41819,4,0,41815
1015,41690,29,0,41661
1023,41403,3,0,41400
1039,40737,10,0,40727
1047,40546,2,0,40544
1049,40408,1,0,40407
1061,39972,1,0,39971
1071,39602,5,0,39597
1089,38854,8,0,38846
1095,38647,1,0,38646
1097,38471,1,0,38470
1103,38282,7,0,38275
1113,38009,4,0,38005
1119,37887,6,0,37881
1127,37536,21,0,37515
1133,37358,4,0,37354
1141,37214,1,0,37213
1143,37107,10,0,37097
1145,36988,1,0,36987
1177,35972,4,0,35968
1183,35846,30,0,35816
1185,35684,3,0,35681
1189,35570,14,0,35556
1191,35438,23,0,35415
1193,35314,6,0,35308
1197,35249,5,0,35244
1199,35152,37,0,35115
1207,34995,2,0,34993
1215,34800,5,0,34795
1217,34694,7,0,34687
1229,34485,3,0,34482
1231,34342,3,0,34339
1239,34133,11,0,34122
1241,33995,21,0,33974
1247,33845,2,0,33843
1269,33156,17,0,33139
1271,33057,20,0,33037
1277,32954,8,0,32946
1279,32852,9,0,32843
1281,32724,15,0,32709
1287,32571,4,0,32567
1289,32475,22,0,32453
1309,32060,7,0,32053
1311,31934,8,0,31926
1319,31741,4,0,31737
1335,31359,2,0,31357
1337,31261,8,0,31253
1341,31206,4,0,31202
1343,31157,1,0,31156
1351,31017,4,0,31013
1353,30919,6,0,30913
1357,30872,1,0,30871
1359,30794,1,0,30793
1367,30628,10,0,30618
1369,30508,23,0,30485
1373,30460,12,0,30448
1375,30384,3,0,30381
1377,30310,9,0,30301
1383,30193,5,0,30188
1391,30062,15,0,30047
1397,29998,6,0,29992
1399,29913,11,0,29902
1407,29748,3,0,29745
1409,29627,12,0,29615
1421,29358,2,0,29356
1429,29220,1,0,29219
1431,29154,7,0,29147
1433,29091,3,0,29088
1441,28913,39,0,28874
1447,28743,1,0,28742
1471,28371,7,0,28364
1473,28278,7,0,28271
1477,28236,3,0,28233
1479,28156,11,0,28145
1481,28100,3,0,28097
1487,28018,3,0,28015
1493,27958,10,0,27948
1497,27860,1,0,27859
1503,27760,1,0,27759
1505,27651,13,0,27638
1517,27488,32,0,27456
1527,27332,15,0,27317
1529,27279,19,0,27260
1535,27128,31,0,27097
1543,26725,2,0,26723
1549,26599,5,0,26594
1559,26478,7,0,26471
1561,26436,32,0,26404
1565,26372,2,0,26370
1567,26312,2,0,26310
1577,26132,13,0,26119
1581,26089,21,0,26068
1583,26021,2,0,26019
1591,25944,13,0,25931
1593,25882,2,0,25880
1599,25739,63,0,25676
1623,25388,6,0,25382
1639,25073,83,0,24990
1645,24865,10,0,24855
1647,24808,34,0,24774
1655,24739,17,0,24722
1677,24285,4,0,24281
1687,24225,15,0,24210
1695,24097,1,0,24096
1697,24031,51,0,23980
1701,23951,1,0,23950
1709,23821,2,0,23819
1711,23787,3,0,23784
1719,23669,24,0,23645
1721,23607,9,0,23598
1733,23452,3,0,23449
1743,23332,7,0,23325
1749,23282,2,0,23280
1751,23243,1,0,23242
1757,23174,16,0,23158
1759,23092,11,0,23081
1781,22831,7,0,22824
1785,22773,11,0,22762
1789,22737,1,0,22736
1807,22601,1,0,22600
1813,22584,1,0,22583
1823,22472,6,0,22466
1829,22381,6,0,22375
1839,22216,1,0,22215
1847,22139,4,0,22135
1853,22102,11,0,22091
1855,22043,1,0,22042
1869,21879,3,0,21876
1871,21847,8,0,21839
1881,21708,41,0,21667
1885,21652,13,0,21639
1887,21613,2,0,21611
1897,21524,3,0,21521
1903,21489,3,0,21486
1909,21468,5,0,21463
1911,21423,3,0,21420
1913,21393,29,0,21364
1921,21251,5,0,21246
1933,21129,35,0,21094
1935,21073,7,0,21066
1941,21025,25,0,21000
1943,20956,20,0,20936
1945,20890,10,0,20880
1949,20872,9,0,20863
1953,20779,4,0,20775
1977,20592,21,0,20571
1983,20503,66,0,20437
1985,20396,42,0,20354
1999,20207,65,0,20142
2005,20114,2,0,20112
2009,20058,10,0,20048
2011,20044,1,0,20043
2023,19902,6,0,19896
2039,19781,4,0,19777
2047,19630,35,0,19595
2049,19432,49,0,19383
2055,19182,39,0,19143
2057,19101,3,0,19098
2061,19004,28,0,18976
2063,18947,2,0,18945
2069,18941,2,0,18939
2071,18930,7,0,18923
2079,18837,21,0,18816
2103,18607,3,0,18604
2109,18569,2,0,18567
2111,18533,7,0,18526
2113,18502,26,0,18476
2117,18462,1,0,18461
2119,18427,3,0,18424
2127,18360,6,0,18354
2137,18304,6,0,18298
2143,18265,1,0,18264
2145,18231,4,0,18227
2151,18182,32,0,18150
2159,18096,8,0,18088
2165,18047,9,0,18038
2167,18018,18,0,18000
2169,17989,2,0,17987
2177,17931,2,0,17929
2189,17839,3,0,17836
2191,17818,14,0,17804
2207,17718,22,0,17696
2221,17596,9,0,17587
2237,17489,2,0,17487
2241,17445,6,0,17439
2247,17395,9,0,17386
2261,17321,13,0,17308
2269,17232,8,0,17224
2271,17213,2,0,17211
2273,17173,1,0,17172
2279,17146,2,0,17144
2287,17105,2,0,17103
2295,17078,28,0,17050
2297,17024,1,0,17023
2305,16953,21,0,16932
2327,16843,7,0,16836
2335,16794,5,0,16789
2341,16747,2,0,16745
2345,16681,45,0,16636
2369,16522,11,0,16511
2391,16397,1,0,16396
2397,16392,4,0,16388
2401,16347,20,0,16327
2407,16291,8,0,16283
2409,16261,3,0,16258
2423,16199,8,0,16191
2425,16157,31,0,16126
2431,16088,20,0,16068
2433,16043,15,0,16028
2439,15968,47,0,15921
2441,15895,11,0,15884
2453,15841,2,0,15839
2455,15819,4,0,15815
2463,15753,13,0,15740
2465,15728,2,0,15726
2469,15715,1,0,15714
2493,15619,2,0,15617
2495,15596,26,0,15570
2501,15544,4,0,15540
2521,15438,3,0,15435
2535,15335,20,0,15315
2537,15279,16,0,15263
2549,15233,18,0,15215
2551,15180,14,0,15166
2557,15143,18,0,15125
2559,15031,159,0,14872
2561,14851,28,0,14823
2565,14793,5,0,14788
2583,14684,12,0,14672
2591,14611,38,0,14573
2593,14528,4,0,14524
2605,14475,4,0,14471
2617,14415,9,0,14406
2629,14354,23,0,14331
2631,14306,9,0,14297
2633,14274,12,0,14262
2639,14221,18,0,14203
2649,14158,11,0,14147
2655,14133,1,0,14132
2671,14046,20,0,14026
2687,13977,8,0,13969
2713,13870,3,0,13867
2725,13820,5,0,13815
2727,13808,4,0,13804
2733,13765,16,0,13749
2735,13723,10,0,13713
2743,13672,2,0,13670
2745,13659,16,0,13643
2751,13613,8,0,13605
2759,13582,13,0,13569
2761,13548,11,0,13537
2765,13529,1,0,13528
2775,13464,6,0,13458
2799,13366,1,0,13365
2805,13355,11,0,13344
2807,13337,3,0,13334
2817,13286,5,0,13281
2823,13259,1,0,13258
2825,13238,9,0,13229
2839,13191,2,0,13189
2847,13139,16,0,13123
2853,13107,4,0,13103
2857,13085,3,0,13082
2861,13067,15,0,13052
2863,13045,24,0,13021
2877,12979,2,0,12977
2879,12959,5,0,12954
2881,12945,55,0,12890
2893,12853,14,0,12839
2895,12828,20,0,12808
2903,12793,4,0,12789
2911,12737,3,0,12734
2913,12715,7,0,12708
2919,12693,1,0,12692
2921,12673,7,0,12666
2933,12643,1,0,12642
2935,12634,1,0,12633
2943,12607,4,0,12603
2951,12538,5,0,12533
2957,12510,4,0,12506
2975,12440,2,0,12438
2999,12351,3,0,12348
3007,12305,4,0,12301
3009,12289,2,0,12287
3013,12283,4,0,12279
3053,12163,1,0,12162
3065,12121,1,0,12120
3071,12105,15,0,12090
3095,12016,13,0,12003
3103,11978,9,0,11969
3105,11955,8,0,11947
3109,11933,3,0,11930
3127,11874,5,0,11869
3129,11861,6,0,11855
3135,11837,76,0,11761
3141,11752,12,0,11740
3143,11727,6,0,11721
3161,11674,11,0,11663
3189,11580,2,0,11578
3191,11578,4,0,11574
3223,11445,4,0,11441
3231,11416,7,0,11409
3233,11400,22,0,11378
3237,11364,10,0,11354
3239,11337,50,0,11287
3241,11281,35,0,11246
3245,11229,14,0,11215
3247,11206,2,0,11204
3257,11179,6,0,11173
3289,11067,1,0,11066
3293,11059,9,0,11050
3307,10989,1,0,10988
3311,10970,6,0,10964
3319,10950,3,0,10947
3329,10926,8,0,10918
3335,10897,17,0,10880
3337,10862,58,0,10804
3349,10762,9,0,10753
3359,10731,1,0,10730
3373,10697,8,0,10689
3385,10672,11,0,10661
3391,10653,1,0,10652
3393,10629,12,0,10617
3413,10577,33,0,10544
3415,10534,33,0,10501
3429,10453,9,0,10444
3431,10430,12,0,10418
3433,10408,24,0,10384
3439,10376,19,0,10357
3445,10356,12,0,10344
3447,10340,1,0,10339
3449,10339,22,0,10317
3453,10316,5,0,10311
3457,10294,1,0,10293
3479,10246,11,0,10235
3493,10200,4,0,10196
3519,10139,3,0,10136
3521,10134,35,0,10099
3525,10099,2,0,10097
3527,10086,11,0,10075
3535,10051,9,0,10042
3573,9980,3,0,9977
3575,9965,17,0,9948
3583,9924,6,0,9918
3597,9858,1,0,9857
3607,9848,39,0,9809
3621,9783,10,0,9773
3623,9769,1,0,9768
3631,9762,6,0,9756
3639,9752,26,0,9726
3641,9725,1,0,9724
3647,9717,16,0,9701
3653,9683,1,0,9682
3655,9676,1,0,9675
3663,9661,2,0,9659
3677,9639,6,0,9633
3679,9625,13,0,9612
3681,9608,17,0,9591
3687,9578,10,0,9568
3693,9560,6,0,9554
3703,9540,2,0,9538
3725,9479,3,0,9476
3727,9469,3,0,9466
3737,9444,1,0,9443
3743,9421,27,0,9394
3745,9377,4,0,9373
3757,9317,7,0,9310
3759,9305,1,0,9304
3769,9284,8,0,9276
3777,9264,1,0,9263
3783,9248,2,0,9246
3789,9233,6,0,9227
3799,9213,28,0,9185
3801,9180,84,0,9096
3805,9096,12,0,9084
3807,9080,2,0,9078
3809,9054,21,0,9033
3831,9001,5,0,8996
3833,8987,29,0,8958
3837,8957,19,0,8938
3863,8889,1,0,8888
3873,8865,7,0,8858
3879,8851,22,0,8829
3885,8826,24,0,8802
3895,8789,42,0,8747
3905,8732,1,0,8731
3919,8707,13,0,8694
3925,8687,5,0,8682
3943,8653,1,0,8652
3959,8613,7,0,8606
3969,8579,4,0,8575
3983,8555,2,0,8553
3989,8550,4,0,8546
3991,8542,23,0,8519
3993,8512,9,0,8503
3999,8490,1,0,8489
4025,8441,42,0,8399
4031,8398,1,0,8397
4033,8391,18,0,8373
4037,8362,10,0,8352
4039,8340,5,0,8335
4041,8332,3,0,8329
4047,8322,11,0,8311
4071,8264,9,0,8255
4073,8250,15,0,8235
4077,8235,9,0,8226
4087,8214,35,0,8179
4095,8161,23,0,8138
4097,8125,22,0,8103
4129,8039,6,0,8033
4133,8032,1,0,8031
4151,8016,6,0,8010
4167,7973,3,0,7970
4185,7921,16,0,7905
4189,7904,2,0,7902
4191,7897,4,0,7893
4199,7871,30,0,7841
4217,7826,15,0,7811
4221,7810,6,0,7804
4233,7788,4,0,7784
4255,7751,11,0,7740
4257,7725,1,0,7724
4269,7707,1,0,7706
4271,7700,1,0,7699
4295,7675,9,0,7666
4297,7659,13,0,7646
4311,7637,4,0,7633
4313,7626,2,0,7624
4321,7606,4,0,7602
4345,7571,2,0,7569
4353,7559,9,0,7550
4393,7484,6,0,7478
4425,7433,8,0,7425
4439,7408,2,0,7406
4481,7345,2,0,7343
4489,7332,31,0,7301
4511,7277,11,0,7266
4513,7256,1,0,7255
4543,7234,28,0,7206
4545,7198,9,0,7189
4569,7161,9,0,7152
4583,7140,1,0,7139
4607,7123,42,0,7081
4639,7039,2,0,7037
4665,7009,3,0,7006
4687,6971,1,0,6970
4697,6965,24,0,6941
4705,6921,19,0,6902
4759,6843,17,0,6826
4767,6816,18,0,6798
4775,6781,9,0,6772
4783,6759,5,0,6754
4793,6749,18,0,6731
4807,6718,50,0,6668
4809,6668,30,0,6638
4825,6623,21,0,6602
4831,6592,7,0,6585
4855,6551,35,0,6516
4865,6511,8,0,6503
4873,6492,35,0,6457
4895,6436,40,0,6396
4921,6370,35,0,6335
4969,6258,4,0,6254
4991,6233,4,0,6229
4993,6227,47,0,6180
4999,6174,3,0,6171
5025,6153,2,0,6151
5055,6103,12,0,6091
5057,6086,66,0,6020
5111,5966,35,0,5931
5119,5926,12,0,5914
5135,5895,4,0,5891
5143,5888,22,0,5866
5153,5859,24,0,5835
5191,5807,22,0,5785
5199,5782,12,0,5770
5223,5746,10,0,5736
5241,5721,9,0,5712
5279,5653,12,0,5641
5281,5640,1,0,5639
5287,5633,31,0,5602
5289,5599,7,0,5592
5295,5589,18,0,5571
5345,5550,47,0,5503
5359,5495,9,0,5486
5385,5474,4,0,5470
5401,5451,17,0,5434
5439,5415,7,0,5408
5441,5405,1,0,5404
5449,5397,4,0,5393
5455,5392,11,0,5381
5463,5380,4,0,5376
5503,5344,20,0,5324
5529,5298,34,0,5264
5561,5245,5,0,5240
5569,5238,20,0,5218
5575,5215,2,0,5213
5601,5193,30,0,5163
5631,5148,5,0,5143
5657,5127,12,0,5115
5673,5099,12,0,5087
5729,5046,6,0,5040
5769,5004,9,0,4995
5791,4977,1,0,4976
5799,4973,1,0,4972
5839,4959,9,0,4950
5847,4943,7,0,4936
5849,4936,2,0,4934
5857,4929,1,0,4928
5871,4923,7,0,4916
5881,4906,9,0,4897
5927,4871,3,0,4868
5959,4842,6,0,4836
5975,4824,2,0,4822
5977,4821,12,0,4809
6007,4801,7,0,4794
6081,4756,27,0,4729
6105,4726,10,0,4716
6113,4709,1,0,4708
6135,4703,3,0,4700
6143,4695,11,0,4684
6151,4679,1,0,4678
6177,4651,9,0,4642
6241,4609,3,0,4606
6247,4606,10,0,4596
6249,4595,22,0,4573
6273,4563,2,0,4561
6319,4537,19,0,4518
6327,4510,2,0,4508
6329,4502,20,0,4482
6335,4478,7,0,4471
6345,4469,3,0,4466
6431,4427,6,0,4421
6433,4413,3,0,4410
6439,4410,15,0,4395
6463,4391,5,0,4386
6487,4368,4,0,4364
6505,4350,9,0,4341
6521,4336,1,0,4335
6559,4327,8,0,4319
6591,4284,23,0,4261
6593,4256,10,0,4246
6649,4229,21,0,4208
6679,4192,10,0,4182
6735,4166,10,0,4156
6799,4128,4,0,4124
6807,4119,14,0,4105
6817,4101,12,0,4089
6825,4087,5,0,4082
6831,4079,4,0,4075
6849,4070,1,0,4069
6857,4068,41,0,4027
6913,4002,1,0,4001
6921,3991,6,0,3985
6967,3974,1,0,3973
6969,3973,6,0,3967
6977,3961,1,0,3960
7033,3952,15,0,3937
7039,3937,12,0,3925
7041,3922,53,0,3869
7047,3869,1,0,3868
7073,3864,1,0,3863
7103,3849,9,0,3840
7111,3838,1,0,3837
7161,3808,1,0,3807
7183,3804,7,0,3797
7193,3796,2,0,3794
7233,3782,13,0,3769
7241,3763,3,0,3760
7287,3748,3,0,3745
7289,3743,27,0,3716
7329,3700,14,0,3686
7337,3686,24,0,3662
7351,3662,13,0,3649
7361,3648,20,0,3628
7383,3622,1,0,3621
7449,3592,1,0,3591
7455,3591,6,0,3585
7503,3576,1,0,3575
7535,3563,21,0,3542
7553,3538,11,0,3527
7649,3495,2,0,3493
7671,3491,19,0,3472
7673,3464,15,0,3449
7695,3440,3,0,3437
7743,3412,4,0,3408
7753,3406,2,0,3404
7759,3402,5,0,3397
7777,3393,4,0,3389
7785,3384,9,0,3375
7831,3361,2,0,3359
7839,3355,5,0,3350
7897,3335,6,0,3329
7929,3317,3,0,3314
