n,live_before,absorbed,merged,live_after
2,200000,1,99999,100000
3,100000,2,0,99998
5,83333,3,0,83330
7,53333,3,0,53330
9,43808,1,0,43807
13,39193,4,0,39189
15,34731,2,0,34729
21,31798,5,0,31793
23,28426,5,0,28421
25,25577,3,0,25574
31,21966,11,0,21955
33,19210,2,0,19208
37,17836,3,0,17833
39,17100,5,0,17095
41,16169,1,0,16168
45,15400,6,0,15394
47,14547,13,0,14534
55,13376,6,0,13370
57,12769,1,0,12768
63,11759,2,0,11757
65,11038,1,0,11037
69,10850,1,0,10849
71,10432,4,0,10428
79,9531,1,0,9530
85,9258,2,0,9256
87,9052,7,0,9045
89,8776,2,0,8774
93,8604,6,0,8598
95,8306,7,0,8299
97,7905,2,0,7903
103,7529,10,0,7519
105,7235,4,0,7231
107,7172,1,0,7171
109,7119,6,0,7113
111,6964,2,0,6962
117,6870,7,0,6863
127,6355,11,0,6344
141,5622,11,0,5611
143,5519,2,0,5517
151,5350,4,0,5346
153,5258,2,0,5256
155,5229,1,0,5228
159,5077,8,0,5069
161,4923,4,0,4919
167,4777,5,0,4772
173,4637,4,0,4633
175,4531,17,0,4514
183,4362,4,0,4358
185,4275,3,0,4272
191,4191,5,0,4186
193,4102,6,0,4096
199,4029,2,0,4027
201,3970,14,0,3956
205,3921,1,0,3920
207,3858,1,0,3857
213,3821,5,0,3816
215,3749,9,0,3740
217,3680,18,0,3662
221,3625,6,0,3619
223,3545,12,0,3533
229,3437,4,0,3433
231,3370,3,0,3367
245,3245,6,0,3239
247,3189,3,0,3186
249,3155,8,0,3147
253,3127,4,0,3123
255,3111,1,0,3110
263,3032,2,0,3030
269,2982,2,0,2980
277,2920,3,0,2917
279,2909,7,0,2902
287,2839,22,0,2817
289,2778,15,0,2763
293,2754,3,0,2751
295,2713,5,0,2708
297,2662,19,0,2643
301,2621,6,0,2615
311,2562,1,0,2561
313,2542,1,0,2541
317,2520,1,0,2519
319,2507,13,0,2494
321,2457,1,0,2456
335,2386,8,0,2378
341,2352,10,0,2342
343,2298,20,0,2278
373,2110,5,0,2105
375,2096,4,0,2092
377,2081,1,0,2080
381,2078,2,0,2076
383,2057,38,0,2019
385,1988,40,0,1948
391,1915,15,0,1900
393,1882,1,0,1881
397,1879,15,0,1864
399,1860,5,0,1855
405,1849,9,0,1840
407,1835,19,0,1816
409,1805,2,0,1803
415,1770,13,0,1757
417,1752,3,0,1749
421,1736,5,0,1731
425,1716,2,0,1714
431,1699,5,0,1694
439,1666,2,0,1664
441,1656,2,0,1654
449,1627,3,0,1624
481,1552,6,0,1546
487,1525,7,0,1518
489,1515,26,0,1489
493,1485,2,0,1483
500,1473,0,0,1473
